imdbID,movieTitle,sceneAddress,sceneDescription,sceneLat,sceneLon
tt0066921,A Clockwork Orange (1971),"Shipton Under Wychwood, Oxford, Oxfordshire, England, UK",exterior: F. Alexander house,51.859378,-1.596189
tt0066921,A Clockwork Orange (1971),"Wandsworth Prison, Heathfield Road, Wandsworth, London, England, UK",Parkmoor Prison: exterior,51.4500051,-0.1775711
tt0066921,A Clockwork Orange (1971),"Lecture Centre, Brunel University, Uxbridge, Middlesex, England, UK",Ludovico Medical Facility,51.5331581,-0.4692108
tt0066921,A Clockwork Orange (1971),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio,51.5474923,-0.5346549
tt0066921,A Clockwork Orange (1971),"Edgwarebury Hotel, Barnet Lane, Elstree, Hertfordshire, England, UK",Alex leaps from window,51.6392623,-0.2897662
tt0066921,A Clockwork Orange (1971),"Friar's Square, Aylesbury, Buckinghamshire, England, UK",Shopping Complex - scene unused,51.8158834,-0.8127368
tt0066921,A Clockwork Orange (1971),"Nettleford Hall, West Norwood Library, West Norwood, London, England, UK",Alex humiliated in press conference,51.4327986,-0.1041853
tt0066921,A Clockwork Orange (1971),"Southmere Lake, Thamesmead South, London, England, UK",Flat Block Marina,51.5001583,0.1258291
tt0066921,A Clockwork Orange (1971),"Woolwich Barracks Prison, Woolwich, London, England, UK",Parkmoor Prison: interior,51.4944824,0.088539
tt0061523,A Countess from Hong Kong (1967),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio,51.5474923,-0.5346549
tt0095159,A Fish Called Wanda (1988),"Bermondsey, London, England, UK",Archie & Wanda's apartment,51.4985821,-0.0691276
tt0095159,A Fish Called Wanda (1988),"Roehampton Church School, Wandsworth, London, England, UK",prison scenes,51.4489561,-0.2375989
tt0095159,A Fish Called Wanda (1988),"Onslow Gardens, Kensington, London, England, UK",Mrs. Coady's house,51.4911233,-0.1776241
tt0095159,A Fish Called Wanda (1988),"The Old Court Room, Oxford Town Hall, St Aldate's, Oxford, Oxfordshire, England, UK",as The Old Bailey,51.7515381,-1.2572431
tt0095159,A Fish Called Wanda (1988),"Twickenham Film Studios, St Margarets, Twickenham, Middlesex, England, UK",studio,51.455612,-0.31888
tt0095159,A Fish Called Wanda (1988),"Clerkenwell Green, Clerkenwell, London, England, UK",Mrs. Coady walks her dogs exterior scenes,51.5229048,-0.1051236
tt0095159,A Fish Called Wanda (1988),"Hatton Garden, Clerkenwell, London, England, UK",robbery scene,51.5212682,-0.1085411
tt0095159,A Fish Called Wanda (1988),"Aubrey House, Maida Avenue, Maida Vale, London, England, UK",Ken's apartment,51.5236827,-0.1777311
tt0095159,A Fish Called Wanda (1988),"The Mount, Esher, Surrey, England, UK",Archie's house,51.3623275,-0.3758651
tt0095159,A Fish Called Wanda (1988),"St John's Gate, Clerkenwell, London, England, UK",Ken disposes of the evidence,51.5219889,-0.102746
tt0095159,A Fish Called Wanda (1988),"Lincoln's Inn, New Square, London, England, UK",Archie's legal office,51.5164346,-0.1145461
tt0095159,A Fish Called Wanda (1988),"Robert's Place, London, England, UK",Changing car exterior scene,51.5243198,-0.1076219
tt0095159,A Fish Called Wanda (1988),"Culvert Place, London, England, UK",The Hideout,51.4702795,-0.156111
tt0095159,A Fish Called Wanda (1988),"Silvermere Haven, Byfleet Road, Cobham, Surrey, England, UK",The pet cemetery,51.3360251,-0.440141
tt0095159,A Fish Called Wanda (1988),"Richmond Magistrates Court, The Court House, Parkshot, Richmond, England, UK",Outside court scene,51.4637462,-0.3030874
tt0095159,A Fish Called Wanda (1988),"New Concordia Wharf, Mill Street, London, England, UK",Archie's bachelor pad,51.5018875,-0.070995
tt0095159,A Fish Called Wanda (1988),"Reed's Wharf, Mill Street, London, England, UK",Hanging in the window scene,51.5019907,-0.0701926
tt0401445,A Good Year (2006),"Albion Riverside, Battersea, London, England, UK",Max Skinner's London flat,51.4799459,-0.1697134
tt0059269,A High Wind in Jamaica (1965),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio,51.5474923,-0.5346549
tt0050598,A King in New York (1957),"Shepperton Studios, Shepperton, Surrey, England, UK",studio,51.4066417,-0.4643616
tt0087892,A Passage to India (1984),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio,51.5474923,-0.5346549
tt0087892,A Passage to India (1984),"Shepperton Studios, Shepperton, Surrey, England, UK",studio,51.4066417,-0.4643616
tt0090264,A View to a Kill (1985),"Ascot Racecourse, Ascot, Berkshire, England, UK", Q and Moneypenny assess horseracing lead and Zorin and co,51.4117994,-0.6796872
tt0090264,A View to a Kill (1985),"Ascot, Berkshire, England, UK", Q and Moneypenny go to the races,51.4062365,-0.6755624
tt0090264,A View to a Kill (1985),"Amberley Museum, Amberley, West Sussex, England, UK",Mine entrance and exteriors,50.89735,-0.540178
tt0090264,A View to a Kill (1985),"Amberley, West Sussex, England, UK",Mine entrance and exteriors,50.9063135,-0.533755
tt0090264,A View to a Kill (1985),"Old War Office Building, Whitehall, Westminster, London, England, UK",MI6 Headquarters,51.5054188,-0.1259695
tt0090264,A View to a Kill (1985),"Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio interiors: Max Zorin's silicon mine,51.5480318,-0.5349938
tt0090264,A View to a Kill (1985),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio,51.5474923,-0.5346549
tt0090264,A View to a Kill (1985),"Quarry, Wraysbury, Berkshire, England, UK",water-filled quarry where Silver Cloud Rolls Royce gets pushed into lake,51.468764,-0.5361058
tt0090264,A View to a Kill (1985),"Renault Building, Swindon, Wiltshire, England, UK",Max Zoran's underground warehouse,51.5675826,-1.8247345
tt0090264,A View to a Kill (1985),"Staines, Surrey, England, UK",near Silver Cloud Rolls Royce gets pushed into lake,51.43148,-0.515525
tt0090264,A View to a Kill (1985),"Swindon, Wiltshire, England, UK",Max Zoran's underground warehouse,51.5557739,-1.7797176
tt0090264,A View to a Kill (1985),"West Sussex, England, UK",mine entrance and exteriors,50.9280143,-0.4617075
tt0284811,Aarzoo (1999),"Perth and Kinross, Scotland, UK",Film location,56.3953817,-3.4283547
tt0284811,Aarzoo (1999),"Fife, Scotland, UK",Film location,56.2082078,-3.1495175
tt0276751,About a Boy (2002),"St James Walk, Clerkenwell, London, England, UK",Will's apartment,51.5239682,-0.105166
tt0276751,About a Boy (2002),"West Hill Primary School - 5 Merton Road, Wandsworth, London, England, UK",Marcus' School,51.456106,-0.198507
tt0276751,About a Boy (2002),"St James C of E Church, Clerkenwell Close, Clerkenwell, London, England, UK",Will decides not to volunteer,51.5234842,-0.105738
tt0276751,About a Boy (2002),"Woodbridge Chapel, 5 Hayward's Pl, London, England, UK",SPATs meeting,51.5239575,-0.104039
tt0276751,About a Boy (2002),"215 Sutherland Ave, Maida Vale, London, England, UK",Restaurant where Will breaks up with various women,51.5280908,-0.1819696
tt0276751,About a Boy (2002),"31 Oseney Crescent, Kentish Town, London, England, UK",Fiona and Marcus' house,51.5480114,-0.1337641
tt0276751,About a Boy (2002),"1 St Stephen's Crescent, Notting Hill, London, England, UK",Rachel's house,51.5178673,-0.1945814
tt0276751,About a Boy (2002),"Acton Town Hall, Winchester Street, London, England, UK",Talent show,51.5064492,-0.2677489
tt0276751,About a Boy (2002),"Scotswood Street, Islington, London, England, UK",when Marcus is following Will,51.5240899,-0.1061825
tt0099005,Air America (1990),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio,51.5474923,-0.5346549
tt0469021,Alan Partridge (2013),"Cromer, Norfolk, England, UK",Pier Scene,52.931448,1.301866
tt0469021,Alan Partridge (2013),"Sheringham, Norfolk, England, UK",Police chase,52.944421,1.2109589
tt0469021,Alan Partridge (2013),"Mitcham, London, England, UK",North Norfolk Radio Office,51.402869,-0.166709
tt0469021,Alan Partridge (2013),"Windsor Great Park, Windsor, Berkshire, England, UK",Closing Credits,51.424085,-0.617771
tt0469021,Alan Partridge (2013),"Croydon, UK",bus leaving radio staton car park,51.376165,-0.098234
tt0469021,Alan Partridge (2013),"City Hall, Norwich, Norfolk, England, UK",police station exteriors,52.6285345,1.2916276
tt0469021,Alan Partridge (2013),"Millennium Plain, Norwich, Norfolk, England, UK",start of bus chase,52.6274659,1.2918304
tt0469021,Alan Partridge (2013),"Sheringham, Norfolk, England, UK",bus chase with crowds,52.944421,1.2109589
tt0346491,Alexander (2004),"Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio The Hanging Gardens of Babylon,51.5480318,-0.5349938
tt0346491,Alexander (2004),"Shepperton Studios, Shepperton, Surrey, England, UK",studio,51.4066417,-0.4643616
tt0346491,Alexander (2004),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio,51.5474923,-0.5346549
tt1014759,Alice in Wonderland (2010),"Charlestown Harbour, Charlestown, Cornwall, England, UK",Dockers Scene/Alice Sails to China,50.3306992,-4.7567384
tt0078748,Alien (1979),"Shepperton Studios, Shepperton, Surrey, England, UK",studio,51.4066417,-0.4643616
tt0078748,Alien (1979),"Bray Studios, Down Place, Oakley Green, Berkshire, England, UK",studio,51.4928221,-0.6760417
tt0103644,Alien 3 (1992),"Blyth Power Station, Northumberland, England, UK",back ground filming,55.2043141,-1.5212889
tt0103644,Alien 3 (1992),"Dawdon Beach, County Durham, England, UK",back ground filming,54.830617,-1.3340247
tt0103644,Alien 3 (1992),"Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio interiors: blast furnace,51.5480318,-0.5349938
tt0103644,Alien 3 (1992),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio,51.5474923,-0.5346549
tt0090605,Aliens (1986),"Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio interiors: Sulaco space ship cargo bay,51.5480318,-0.5349938
tt0090605,Aliens (1986),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio,51.5474923,-0.5346549
tt0454776,Amazing Grace (2006),"Syon House, Syon Park, Brentford, Middlesex, England, UK",spa scene in great hall,51.4768,-0.312492
tt0454776,Amazing Grace (2006),"Elstree Studios, Borehamwood, Hertfordshire, England, UK",studio,51.6581399,-0.2692358
tt0082010,An American Werewolf in London (1981),"The Black Swan, Martyr's Green, Cobham, Surrey, England, UK", interior,51.304463,-0.439187
tt0082010,An American Werewolf in London (1981),"Hay Bluff, Powys, Wales, UK",Yorkshire moors/opening shots/Y junction where the boys are dropped off at the beginning of film,52.0166667,-3.1
tt0082010,An American Werewolf in London (1981),"Crickadarn, Powys, Wales, UK",East Proctor,52.070979,-3.328955
tt0082010,An American Werewolf in London (1981),"64 Coleherne Road, Earl's Court, London, England, UK",Alex's flat,51.4879258,-0.1905188
tt0082010,An American Werewolf in London (1981),"Lupus Street, Pimlico, London, England, UK",Alex's flat - exterior,51.4879258,-0.1400826
tt0082010,An American Werewolf in London (1981),"Burnham Beeches, Buckinghamshire, England, UK",David runs naked through the woods in his dreams,51.5615636,-0.6315469
tt0082010,An American Werewolf in London (1981),"Tottenham Court Road Underground Station, Tottenham Court Road, Bloomsbury, London, England, UK",David chases Gerald Bringsley,51.5162295,-0.1306684
tt0082010,An American Werewolf in London (1981),"Trafalgar Square, St James's, London, England, UK",David asks to be arrested,51.508039,-0.128069
tt0082010,An American Werewolf in London (1981),"Winchester Walk, Clink Street, Southwark, London, England, UK",alley where David is cornered by police,51.5071495,-0.091542
tt0082010,An American Werewolf in London (1981),"Chiswick Maternity Hospital, Netheravon Road South, London, England, UK",David recovers in hospital,51.5161099,-0.2374889
tt0082010,An American Werewolf in London (1981),"Near Tower Bridge, London, England, UK",David kills the tramps,51.5041646,-0.0762572
tt0082010,An American Werewolf in London (1981),"Piccadilly Circus, Piccadilly, London, England, UK",David phones his sister then tries to slit his wrists - climactic finale,51.5100913,-0.1345676
tt0082010,An American Werewolf in London (1981),"Redcliffe Square, Kensington, London, England, UK",outside Alex's flat,51.487797,-0.1884377
tt0082010,An American Werewolf in London (1981),"Twickenham Film Studios, St Margarets, Twickenham, Middlesex, England, UK",studio,51.455612,-0.31888
tt0082010,An American Werewolf in London (1981),"Well Walk, East Heath Road, Hampstead Heath, Hampstead, London, England, UK",Harry and Judith get out of the taxi just before David kills them,51.5608421,-0.1631376
tt0082010,An American Werewolf in London (1981),"Windsor Great Park, Windsor, Berkshire, England, UK",night scenes on the moors/Jack's attack,51.424085,-0.617771
tt0082010,An American Werewolf in London (1981),"East Heath Road, Hampstead Heath, Hampstead, London, England, UK",Harry and Judith are killed on Hampstead Heath,51.5608421,-0.1631376
tt0082010,An American Werewolf in London (1981),"London Zoo, Regent's Park, London, England, UK",David wakes up after committing attacks,51.5352875,-0.1534303
tt0082010,An American Werewolf in London (1981),"Princess Beatrice House, 192 Finborough Rd, Kensington, London, England, UK",David's hospital room,51.4883083,-0.192177
tt1174732,An Education (2009),"Twickenham Film Studios, St Margarets, Twickenham, Middlesex, England, UK",studio,51.455612,-0.31888
tt1174732,An Education (2009),"20 Cumberland Terrace, Regents Park, London, England, UK",David Goldman's house,51.531691,-0.1458962
tt1174732,An Education (2009),"Inglis Barracks, Mill Hill, London, England, UK",Heathrow hotel,51.6143965,-0.2326867
tt0048947,Anastasia (1956),"Knebworth House, Stevenage, Hertfordshire, England, UK",Palace of the Empress,51.87287,-0.2147645
tt0066765,And Now for Something Completely Different (1971),"Caledonian Road, Holloway, London, England, UK",parrot sketch,51.5435163,-0.1174981
tt0046714,Angels One Five (1952),"Associated British Studios, Elstree, England, UK",studio studio: produced at,51.6580868,-0.269287
tt0064030,Anne of the Thousand Days (1969),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio,51.5474923,-0.5346549
tt0064030,Anne of the Thousand Days (1969),"Hever Castle, Hever, Kent, England, UK",Anne Boleyn's home as a child,51.1868837,0.1138679
tt0064030,Anne of the Thousand Days (1969),"Old Royal Naval College, Greenwich, London, England, UK",Henry Vlll's Greenwich Palace,51.4832762,-0.0055729
tt0064030,Anne of the Thousand Days (1969),"Richmond Park, Richmond, Surrey, England, UK",Hunting scenes,51.4463869,-0.2757727
tt0064030,Anne of the Thousand Days (1969),"Penshurst Place, Penshurst, Kent, England, UK",Tudor garden,51.1746265,0.1836777
tt0064030,Anne of the Thousand Days (1969),"Shepperton Studios, Shepperton, Surrey, England, UK",studio,51.4066417,-0.4643616
tt0094669,Appointment with Death (1988),"London, England, UK",second unit,51.5073509,-0.1277583
tt0064040,Army of Shadows (1969),"Regent Street, London, England, UK",Gerber and Jardie in London,51.5120431,-0.1396347
tt0064040,Army of Shadows (1969),"Piccadilly Street, London, England, UK",Gerber and Jardie in London,51.5088392,-0.1380719
tt0064040,Army of Shadows (1969),"Westminster Abbey, Westminster, London, England, UK",Gerber and Jardie in London,51.4992921,-0.1273097
tt0064040,Army of Shadows (1969),"Frognal Street, Camden, London, England, UK",Jardie is awarded a medal,51.5535271,-0.1818073
tt0048960,Around the World in 80 Days (1956),"Elstree Studios, Borehamwood, Hertfordshire, England, UK", Hesketh-Baggott's office of employment,51.6581399,-0.2692358
tt0048960,Around the World in 80 Days (1956),"Hyde Park, London, England, UK",opening sequence,51.5072682,-0.1657303
tt0048960,Around the World in 80 Days (1956),"Chelsea, London, England, UK",Cantinflas rides pennyfarthing bicycle,51.485093,-0.174936
tt0048960,Around the World in 80 Days (1956),"Lower Grosvenor Place, Westminster, London, England, UK",exteriors: Hesketh-Baggott's office of employment,51.4982737,-0.1454146
tt0048960,Around the World in 80 Days (1956),"Rotten Row, Hyde Park, London, England, UK",opening sequence,51.5072682,-0.1657303
tt0048960,Around the World in 80 Days (1956),"5 Lower Grosvenor Place, Westminster, London, England, UK",exteriors: Hesketh-Baggott's office of employment,51.4980816,-0.144584
tt0048960,Around the World in 80 Days (1956),"The Grenadier Pub, 18 Wilton Row, London, England, UK",Glynis Johns and Hermione Gingold as 2 Sporting Ladies,51.5014633,-0.1550049
tt0048960,Around the World in 80 Days (1956),"Upper Cheyne Row, Chelsea, London, England, UK",Cantinflas rides pennyfarthing bicycle,51.4846044,-0.1699298
tt0048960,Around the World in 80 Days (1956),"Victoria Square, Westminster, London, England, UK",Cantinflas rides pennyfarthing bicycle,51.4978092,-0.1450115
tt0048960,Around the World in 80 Days (1956),"Wellington Barracks, Westminster, London, England, UK",parade: Scots guards,51.4993725,-0.1369822
tt0048960,Around the World in 80 Days (1956),"Westminster, London, England, UK",exteriors: Hesketh-Baggott's office of employment - Cantinflas rides pennyfarthing bicycle,51.4974948,-0.1356583
tt0783233,Atonement (2007),"Stokesay Court, Onibury, Shropshire, England, UK",Tallis home,52.402837,-2.818765
tt0783233,Atonement (2007),"Redcar beach, Redcar and Cleveland, England, UK",evacuation of Dunkirk,54.58156,-0.975134
tt0783233,Atonement (2007),"British Steel works, now Tata Steel works, Redcar, England, UK",On the way to Dunkirk,54.6099,-1.11268
tt0783233,Atonement (2007),"Ouse Washes Nature Reserve, Cambridgeshire, England, UK",for late 1930s rural France,52.4515627,0.1625473
tt0783233,Atonement (2007),"Nene Washes Nature Reserve, Peterborough, Cambridgeshire, England, UK",for late 1930s rural France,52.5632882,-0.1274865
tt0783233,Atonement (2007),"Aldwych Underground Station, Aldwych, Holborn, London, England, UK",interiors,51.5120836,-0.1160109
tt0783233,Atonement (2007),"Grimsby Docks, Grimsby, Lincolnshire, England, UK",Dunkirk - street scenes,53.57434,-0.07562
tt0783233,Atonement (2007),"Walpole St Andrew, Norfolk, England, UK",French Orchard,52.736874,0.226114
tt0783233,Atonement (2007),"Shepperton Studios, Shepperton, Surrey, England, UK",studio,51.4066417,-0.4643616
tt0783233,Atonement (2007),"St. John's, Smith Square, Westminster, London, England, UK",Lola's wedding,51.4959694,-0.1270039
tt1478964,Attack the Block (2011),"Three Mills Studios, Three Mill Lane, Bow, London, England, UK",studio as 3 Mills Studios,51.5273218,-0.0057273
tt1478964,Attack the Block (2011),"Larcom Street, Walworth, London, England, UK",Action location,51.4910897,-0.0956542
tt0337578,Baghban (2003),"Reading, Berkshire, England, UK",Kuch To Hone Laga song,51.4542645,-0.9781303
tt0072684,Barry Lyndon (1975),"Chatsworth House, Edensor, Derbyshire, England, UK",Castle Hackton,53.2275433,-1.6114274
tt0072684,Barry Lyndon (1975),"Blenheim Palace, Woodstock, Oxfordshire, England, UK",water garden,51.841365,-1.360972
tt0072684,Barry Lyndon (1975),"The Guildhall, Lavenham, Suffolk, England, UK",The inn in which Barry is treated after the duel,52.10875,0.796635
tt0072684,Barry Lyndon (1975),"Dunrobin Castle, Sutherland, Scotland, UK",general view of the Spa castle where Barry meets Lady Lyndon,57.9818639,-3.9454998
tt0072684,Barry Lyndon (1975),"Castle Howard, Coneysthorpe, North Yorkshire, England, UK",Castle Hackton - exteriors,54.1218033,-0.9061282
tt0072684,Barry Lyndon (1975),"Corsham Court, Wiltshire, England, UK",interior - where Barry scuffles with his stepson,51.4350039,-2.1823475
tt0072684,Barry Lyndon (1975),"Longleat House, Wiltshire, England, UK",interiors: Barry's company refused by Lord Wendover,51.1857169,-2.2744354
tt0072684,Barry Lyndon (1975),"Petworth House, Petworth, West Sussex, England, UK",chapel: wedding,50.9881657,-0.6110178
tt0072684,Barry Lyndon (1975),"Petworth, West Sussex, England, UK",chapel: wedding,50.9867009,-0.6107242
tt0072684,Barry Lyndon (1975),"Stourhead Garden, Warminster, Wiltshire, England, UK",Hackton gardens: Barry reminded by his mother that nothing belongs to him,51.1051101,-2.3179141
tt0072684,Barry Lyndon (1975),"Wilton House, Wilton, Salisbury, Wiltshire, England, UK",Castle Hackton - interiors,51.0785664,-1.8592917
tt0072684,Barry Lyndon (1975),"Compton Acres, Poole, Dorset, England, UK",Barry sees Lady Lyndon for the first time,50.7052542,-1.9259957
tt0072684,Barry Lyndon (1975),"Compton Castle, Marlton, Devon, England, UK",Lord Bullingdon's castle,50.4727217,-3.5975006
tt0072684,Barry Lyndon (1975),"Somerset Rural Life Museum, Abbey Farm, Glastonbury, Somerset, England, UK",duel between Barry Lyndon and Bullingdon,51.144046,-2.711018
tt0072684,Barry Lyndon (1975),"Chavenage House, Tetbury, Gloucestershire, England, UK",Pub where Barry's Leg is amputated,51.65535,-2.186528
tt0096895,Batman (1989),"Knebworth House, Stevenage, Hertfordshire, England, UK",exteriors: Wayne Manor,51.87287,-0.2147645
tt0096895,Batman (1989),"Hatfield House, Hatfield, Hertfordshire, England, UK",interiors: Wayne Manor,51.760583,-0.209866
tt0096895,Batman (1989),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio Gotham City,51.5474923,-0.5346549
tt0096895,Batman (1989),"Little Barford, Bedfordshire, England, UK",Axis Chemical Works,52.198745,-0.273019
tt0096895,Batman (1989),"Long Gallery, Hatfield House, Hatfield, Hertfordshire, England, UK",interiors: Wayne Manor gaming room,51.760583,-0.209866
tt0096895,Batman (1989),"Marble Hall, Hatfield House, Hatfield, Hertfordshire, England, UK",interiors: Wayne Manor armoury,51.760583,-0.209866
tt0096895,Batman (1989),"Little Barford Power Station, St Neots, Bedfordshire, England, UK",exteriors: Axis Chemical Works,52.2044959,-0.2675043
tt0096895,Batman (1989),"St Neots, Bedfordshire, England, UK",Axis Chemical Works,52.2300836,-0.265103
tt0096895,Batman (1989),"Library, Hatfield House, Hatfield, Hertfordshire, England, UK",interiors: Wayne Manor library,51.760583,-0.209866
